application_no,date_received,date_released,year,month,quarter,application_type,current_stage,assigned_staff,barangay,purpose,zone_classification,latitude,longitude,lot_area_sqm,floor_area_sqm,no_of_floors,total_fee_php,processing_days,is_compliant,monthly_rainfall_mm,inflation_rate_pct,working_days_month
ZA-2018-0053,2018-05-09,2018-05-22,2018,5,2,Locational Clearance,Released,"Garduque, H.",Bolbok,Food Establishment,Residential Low Density (R-1),13.877292,121.19181,801,499.0,1,2722.16,9,1,105.3,5.13,22
ZA-2018-0054,2018-05-10,2018-05-21,2018,5,2,Locational Clearance,Released,"Tipan, S.",Poblacion Barangay I,Place of Worship,Commercial (C-2),13.82855,121.215385,1367,559.0,2,2856.36,7,1,141.0,5.18,22
ZA-2018-0055,2018-05-28,2018-06-05,2018,5,2,Zoning Certificate,Released,"Castillo, J.",Iligan,Boundary Dispute Resolution,Commercial (C-2),13.868129,121.235535,870,,3,2618.57,6,0,115.7,5.32,22
ZA-2018-0056,2018-05-28,2018-06-05,2018,5,2,Locational Clearance,Released,"Castillo, J.",Mabini,Food Establishment,Residential Low Density (R-1),13.848274,121.18895,633,346.0,1,2587.54,6,0,109.2,5.47,22
ZA-2018-0057,2018-05-28,2018-06-28,2018,5,2,Locational Clearance,Released,"Cruz, M.",Halang,Food Establishment,Residential Low Density (R-1),13.856141,121.216929,425,298.0,1,1889.01,23,1,127.9,4.98,22
ZA-2018-0058,2018-05-29,2018-06-19,2018,5,2,Locational Clearance,Released,"Garduque, H.",Iligan,Poultry/Livestock Farm,Commercial (C-1),13.868568,121.213736,413,148.0,5,1789.2,15,1,111.6,4.79,22
ZA-2018-0059,2018-06-08,2018-06-19,2018,6,2,Zoning Certificate,Released,"Tipan, S.",Santol,Business Permit Application,Residential Low Density (R-1),13.877408,121.225395,471,,1,1762.21,7,1,173.4,5.29,21
ZA-2018-0060,2018-06-15,2018-06-18,2018,6,2,Zoning Certificate,Released,"Castillo, J.",Lumbang,Bank/Loan Requirement,Industrial (I-1),13.891535,121.185349,2282,,1,3899.74,1,1,193.5,4.87,21
ZA-2018-0061,2018-06-15,2018-07-03,2018,6,2,Locational Clearance,Released,"Bautista, R.",Pinagkawitan,Food Establishment,Residential Low Density (R-1),13.838697,121.213201,345,177.0,1,1583.67,12,0,173.5,5.3,21
ZA-2018-0062,2018-06-21,2018-06-22,2018,6,2,Zoning Certificate,Released,"Tipan, S.",San Jose,Bank/Loan Requirement,Residential Low Density (R-1),13.899531,121.222947,748,,1,1913.08,1,1,190.6,5.7,21
ZA-2018-0063,2018-06-22,2018-06-27,2018,6,2,Zoning Certificate,Released,"Cruz, M.",Lumbang,Business Permit Application,Institutional (Inst),13.834024,121.2252,608,,1,2405.08,3,0,184.2,5.25,21
ZA-2018-0064,2018-07-05,2018-08-10,2018,7,3,Locational Clearance,Released,"Garduque, H.",Halang,Gasoline Station,Institutional (Inst),13.883636,121.244174,243,87.0,2,1342.51,26,1,205.4,5.04,23
ZA-2018-0065,2018-07-13,2018-08-14,2018,7,3,Locational Clearance,Released,"Bautista, R.",Mataas na Lupa,Place of Worship,Commercial (C-1),13.82713,121.230422,244,96.0,1,1346.31,22,1,212.1,5.24,23
ZA-2018-0066,2018-07-13,2018-07-24,2018,7,3,Locational Clearance,Released,"Castillo, J.",Latag,Gasoline Station,Agricultural (A),13.894957,121.214304,4485,3450.0,2,7242.67,7,1,196.7,4.95,23
ZA-2018-0067,2018-07-19,2018-08-15,2018,7,3,Zoning Certificate,Released,"Garduque, H.",Santol,Estate Settlement,Commercial (C-1),13.859757,121.249373,221,,1,662.43,19,0,193.0,5.08,23
ZA-2018-0068,2018-07-23,2018-09-07,2018,7,3,Development Permit,Released,"Bautista, R.",Marawoy,Commercial Complex Development,Residential Medium Density (R-2),13.889445,121.234474,621,533.0,1,3061.35,34,1,208.5,5.0,23
ZA-2018-0069,2018-07-25,2018-08-22,2018,7,3,Development Permit,Released,"Cruz, M.",Santo Niño,Memorial Park Development,Residential Medium Density (R-2),13.898049,121.221278,809,282.0,1,2919.45,20,1,204.7,5.13,23
ZA-2018-0070,2018-07-27,2018-08-14,2018,7,3,Locational Clearance,Released,"Garduque, H.",San Jose,Place of Worship,Institutional (Inst),13.833987,121.210205,544,445.0,2,1643.43,12,0,222.3,4.88,23
ZA-2018-0071,2018-08-06,2018-08-28,2018,8,3,Locational Clearance,Released,"Tipan, S.",Mabini,Poultry/Livestock Farm,Residential Low Density (R-1),13.860491,121.205161,423,220.0,1,1799.25,16,1,195.8,5.28,22
ZA-2018-0072,2018-08-09,2018-10-29,2018,8,3,Development Permit,Released,"Garduque, H.",Pinagkawitan,Eco-Tourism Site,Residential Medium Density (R-2),13.882461,121.206784,331,142.0,1,2334.9,57,1,213.3,5.24,22
ZA-2018-0073,2018-08-13,2018-09-18,2018,8,3,Development Permit,Released,"Castillo, J.",Santol,Industrial Plant Expansion,Institutional (Inst),13.828084,121.225373,416,370.0,1,2676.33,26,1,188.8,5.2,22
ZA-2018-0074,2018-08-17,2018-10-11,2018,8,3,Development Permit,Released,"Bautista, R.",Sico,Resort/Tourism Facility,Residential Low Density (R-1),13.862163,121.204087,342,307.0,1,2166.65,39,1,212.9,4.79,22
ZA-2018-0075,2018-08-22,2018-09-21,2018,8,3,Locational Clearance,Released,"Cruz, M.",Lodlod,Subdivision Development,Residential Low Density (R-1),13.820883,121.203292,440,229.0,1,1907.77,22,0,190.3,5.08,22
ZA-2018-0076,2018-08-22,2018-09-04,2018,8,3,Locational Clearance,Released,"Garduque, H.",Sampaguita,Car Wash,Residential Medium Density (R-2),13.82097,121.189296,489,223.0,1,1936.04,9,1,200.9,5.2,22
ZA-2018-0077,2018-08-24,2018-08-30,2018,8,3,Locational Clearance,Released,"Castillo, J.",Iligan,School/Learning Center,Residential Medium Density (R-2),13.859059,121.182004,658,241.0,1,2661.74,4,1,225.9,5.55,22
ZA-2018-0078,2018-08-27,2018-08-28,2018,8,3,Zoning Certificate,Released,"Garduque, H.",Sico,Building Permit Requirement,Agricultural (A),13.882801,121.241367,2929,,1,10305.27,1,1,188.3,5.54,22
ZA-2018-0079,2018-08-29,2018-09-21,2018,8,3,Locational Clearance,Released,"Tipan, S.",Lodlod,Commercial Building Construction,Residential Low Density (R-1),13.856918,121.220976,281,158.0,1,996.44,17,1,187.7,5.42,22
ZA-2018-0080,2018-09-03,2018-09-14,2018,9,3,Locational Clearance,Released,"Bautista, R.",Poblacion Barangay I,Car Wash,Commercial (C-1),13.878995,121.210978,572,390.0,5,2377.79,9,1,162.5,5.13,21
ZA-2018-0081,2018-09-05,2018-10-15,2018,9,3,Development Permit,Released,"Cruz, M.",Plaridel,Mixed-Use Development,Commercial (C-2),13.89652,121.229001,1137,399.0,1,3567.43,28,1,162.8,4.8,21
ZA-2018-0082,2018-09-07,2018-09-25,2018,9,3,Zoning Certificate,Released,"Bautista, R.",Sico,Bank/Loan Requirement,Residential Medium Density (R-2),13.833929,121.177872,303,,1,1218.58,12,1,150.1,5.56,21
ZA-2018-0083,2018-09-13,2018-10-08,2018,9,3,Locational Clearance,Released,"Castillo, J.",Lumbang,Subdivision Development,Commercial (C-1),13.829711,121.219201,706,324.0,2,1890.1,17,1,179.7,5.39,21
ZA-2018-0084,2018-09-18,2018-09-28,2018,9,3,Locational Clearance,Released,"Garduque, H.",Calumpang,Warehouse/Storage Facility,Agricultural (A),13.866594,121.229846,10247,6335.0,1,30092.31,8,1,173.9,5.36,21
ZA-2018-0085,2018-09-19,2018-11-14,2018,9,3,Development Permit,Released,"Cruz, M.",Parang,Reclamation Project,Residential Low Density (R-1),13.854566,121.205152,842,317.0,1,3547.62,40,1,156.8,5.37,21
ZA-2018-0086,2018-09-21,2018-10-08,2018,9,3,Locational Clearance,Released,"Cruz, M.",Munting Pulo,Medical Clinic,Agricultural (A),13.842873,121.235276,5370,2387.0,4,8764.77,11,1,155.8,5.15,21
ZA-2018-0087,2018-09-25,2018-10-02,2018,9,3,Zoning Certificate,Released,"Bautista, R.",Pinagtongulan,Property Sale/Transfer,Commercial (C-1),13.882116,121.222493,568,,1,1595.02,5,1,184.1,5.25,21
ZA-2018-0088,2018-09-26,2018-10-05,2018,9,3,Zoning Certificate,Released,"Cruz, M.",Poblacion Barangay I,Estate Settlement,Agricultural (A),13.860468,121.237256,2257,,3,7738.22,7,1,150.2,5.29,21
ZA-2018-0089,2018-09-26,2018-10-02,2018,9,3,Locational Clearance,Released,"Tipan, S.",Pinagtongulan,Residential House Construction,Residential Low Density (R-1),13.889866,121.220903,1154,755.0,1,3006.79,4,1,161.2,5.01,21
ZA-2018-0090,2018-09-28,2018-11-09,2018,9,3,Development Permit,Released,"Garduque, H.",Kayumanggi,Eco-Tourism Site,Residential Medium Density (R-2),13.864407,121.228646,626,361.0,1,3666.86,30,1,147.2,4.84,21
ZA-2018-0091,2018-10-01,2018-10-19,2018,10,4,Locational Clearance,Released,"Castillo, J.",Poblacion Barangay II,Car Wash,Agricultural (A),13.822825,121.229659,6417,3293.0,1,15626.32,14,0,151.8,4.77,23
ZA-2018-0092,2018-10-01,2018-10-05,2018,10,4,Zoning Certificate,Released,"Bautista, R.",Lumbang,Building Permit Requirement,Residential Low Density (R-1),13.849465,121.205889,283,,1,844.3,4,0,117.7,5.38,23
ZA-2018-0093,2018-10-01,2018-10-08,2018,10,4,Locational Clearance,Released,"Tipan, S.",Munting Pulo,Gasoline Station,Industrial (I-1),13.869567,121.198439,3531,2316.0,1,6374.92,5,1,103.6,5.03,23
ZA-2018-0094,2018-10-04,2018-10-23,2018,10,4,Locational Clearance,Released,"Castillo, J.",Mataas na Lupa,Poultry/Livestock Farm,Commercial (C-1),13.868279,121.224117,1771,1214.0,3,5465.01,13,1,119.7,5.01,23
ZA-2018-0095,2018-10-09,2018-11-09,2018,10,4,Development Permit,Released,"Cruz, M.",Latag,New Residential Subdivision,Institutional (Inst),13.882792,121.226614,745,592.0,1,2805.57,23,1,129.9,5.23,23
ZA-2018-0096,2018-10-10,2018-11-16,2018,10,4,Development Permit,Released,"Bautista, R.",Latag,Eco-Tourism Site,Commercial (C-1),13.837649,121.217858,1031,582.0,3,3392.48,27,1,116.7,5.26,23
ZA-2018-0097,2018-10-15,2018-12-25,2018,10,4,Development Permit,Released,"Bautista, R.",Halang,Industrial Plant Expansion,Commercial (C-2),13.887184,121.200707,1381,763.0,1,3642.42,51,1,138.7,5.77,23
ZA-2018-0098,2018-10-17,2018-10-24,2018,10,4,Locational Clearance,Released,"Garduque, H.",Munting Pulo,Mini-Grocery/Sari-Sari Store,Commercial (C-1),13.886536,121.191846,1066,438.0,1,3571.39,5,1,112.4,4.63,23
ZA-2018-0099,2018-10-17,2018-11-23,2018,10,4,Development Permit,Released,"Cruz, M.",Sico,Memorial Park Development,Residential Low Density (R-1),13.834888,121.234211,537,464.0,1,3170.64,27,0,106.1,4.85,23
ZA-2018-0100,2018-10-18,2018-12-06,2018,10,4,Development Permit,Released,"Cruz, M.",Bulacnin,Reclamation Project,Commercial (C-1),13.878361,121.231241,117,44.0,1,1762.21,35,1,124.3,5.31,23
ZA-2018-0101,2018-10-23,2018-11-16,2018,10,4,Locational Clearance,Released,"Tipan, S.",Tulo,Mini-Grocery/Sari-Sari Store,Residential Medium Density (R-2),13.824564,121.192575,285,109.0,1,987.66,18,1,148.4,4.94,23
ZA-2018-0102,2018-10-24,2018-10-31,2018,10,4,Zoning Certificate,Released,"Garduque, H.",Tambo,Building Permit Requirement,Commercial (C-1),13.855979,121.232137,326,,1,1267.43,5,0,135.5,5.19,23
ZA-2018-0103,2018-10-24,2018-10-25,2018,10,4,Zoning Certificate,Released,"Tipan, S.",Talisay,Boundary Dispute Resolution,Residential Low Density (R-1),13.821746,121.223103,339,,1,1123.68,1,0,143.3,5.22,23
ZA-2018-0104,2018-10-25,2018-10-29,2018,10,4,Zoning Certificate,Released,"Castillo, J.",Marawoy,Bank/Loan Requirement,Commercial (C-1),13.840522,121.222334,638,,1,1832.22,2,0,122.1,5.29,23
ZA-2018-0105,2018-11-02,2018-12-20,2018,11,4,Development Permit,Released,"Bautista, R.",San Jose,Mixed-Use Development,Commercial (C-1),13.8321,121.188025,250,145.0,1,2300.48,34,1,80.2,5.39,21
ZA-2018-0106,2018-11-05,2018-11-14,2018,11,4,Locational Clearance,Released,"Bautista, R.",Talisay,Gasoline Station,Residential Low Density (R-1),13.825413,121.226627,394,251.0,1,1311.37,7,1,75.9,4.95,21
ZA-2018-0107,2018-11-05,2018-11-30,2018,11,4,Development Permit,Released,"Cruz, M.",Poblacion Barangay I,New Residential Subdivision,Agricultural (A),13.873522,121.206984,5175,2976.0,4,10148.59,19,1,74.1,5.73,21
ZA-2018-0108,2018-11-08,2018-12-25,2018,11,4,Development Permit,Released,"Tipan, S.",Sico,Resort/Tourism Facility,Residential Medium Density (R-2),13.824157,121.232902,294,184.0,1,2320.79,33,1,64.1,5.01,21
ZA-2018-0109,2018-11-12,2018-12-12,2018,11,4,Locational Clearance,Released,"Garduque, H.",Calumpang,Gasoline Station,Industrial (I-1),13.890226,121.240367,1999,797.0,1,4471.23,22,1,63.5,5.09,21
ZA-2018-0110,2018-11-13,2019-01-16,2018,11,4,Development Permit,Released,"Tipan, S.",Poblacion Barangay I,Reclamation Project,Residential Medium Density (R-2),13.828438,121.222542,636,363.0,1,3721.72,46,1,73.8,5.07,21
ZA-2018-0111,2018-11-14,2018-12-05,2018,11,4,Development Permit,Released,"Bautista, R.",Pinagkawitan,Memorial Park Development,Residential Medium Density (R-2),13.870767,121.233833,875,670.0,1,3252.46,15,1,78.0,5.43,21
ZA-2018-0112,2018-11-14,2018-12-06,2018,11,4,Locational Clearance,Released,"Cruz, M.",Halang,Place of Worship,Residential Low Density (R-1),13.888574,121.242491,448,278.0,1,2023.99,16,1,62.3,5.1,21
ZA-2018-0113,2018-11-19,2019-01-09,2018,11,4,Development Permit,Released,"Bautista, R.",Santol,Eco-Tourism Site,Residential Low Density (R-1),13.869224,121.176677,403,165.0,1,2688.52,37,1,86.4,5.26,21
ZA-2018-0114,2018-11-20,2018-11-30,2018,11,4,Zoning Certificate,Released,"Garduque, H.",Mabini,Property Sale/Transfer,Commercial (C-1),13.873434,121.220774,556,,1,1535.3,8,0,75.1,4.84,21
ZA-2018-0115,2018-11-27,2018-12-27,2018,11,4,Locational Clearance,Released,"Castillo, J.",Iligan,Gasoline Station,Commercial (C-2),13.826353,121.22852,990,304.0,5,3080.65,22,0,113.8,5.3,21
ZA-2018-0116,2018-11-28,2019-02-25,2018,11,4,Development Permit,Released,"Castillo, J.",Tulo,Eco-Tourism Site,Residential Low Density (R-1),13.885731,121.206741,425,336.0,1,2879.31,63,1,80.3,5.17,21
ZA-2018-0117,2018-11-29,2018-12-28,2018,11,4,Development Permit,Released,"Garduque, H.",Pinagkawitan,Reclamation Project,Residential Medium Density (R-2),13.828051,121.18919,161,128.0,1,2052.39,21,0,67.4,5.08,21
ZA-2018-0118,2018-12-07,2019-01-02,2018,12,4,Locational Clearance,Released,"Tipan, S.",Halang,Commercial Building Construction,Agricultural (A),13.887316,121.207703,2826,1611.0,1,8000.32,18,1,58.9,5.21,20
ZA-2018-0119,2018-12-11,2019-01-08,2018,12,4,Development Permit,Released,"Castillo, J.",Talisay,Memorial Park Development,Residential Low Density (R-1),13.833991,121.238459,527,198.0,1,3338.09,20,1,57.8,5.38,20
ZA-2018-0120,2018-12-13,2019-01-16,2018,12,4,Locational Clearance,Released,"Cruz, M.",Poblacion Barangay III,Car Wash,Industrial (I-1),13.837012,121.172655,2351,1099.0,1,6483.64,24,1,55.2,5.51,20
